Date,MSFT Adjusted Close Price,MSFT Daily Return,Market Excess Return (Mkt-RF),Size Factor (SMB),Value Factor (HML),Risk-Free Rate,MSFT Excess Return
2015-06-16,39.738765716552734,0.0076957960370767076,0.005699999999999999,0.0011,-0.0001,0.0,0.0076957960370767076
2015-06-17,39.86016082763672,0.0030548284249658497,0.0016,-0.0028000000000000004,-0.0066,0.0,0.0030548284249658497
2015-06-18,40.51046752929688,0.01631470340704899,0.009899999999999999,0.0022,-0.0045000000000000005,0.0,0.01631470340704899
2015-06-19,39.97286987304688,-0.013270586320960454,-0.0043,0.005600000000000001,-0.0021,0.0,-0.013270586320960454
2015-06-22,40.085594177246094,0.0028200202926940143,0.0063,0.0009,-0.0006,0.0,0.0028200202926940143
2015-06-23,39.80812072753906,-0.006922024118692804,0.0013,0.0025,0.0029,0.0,-0.006922024118692804
2015-06-24,39.57400894165039,-0.00588100572471173,-0.0079,-0.0012,0.0013,0.0,-0.00588100572471173
2015-06-25,39.58269500732422,0.00021948915225222798,-0.0025,0.0036,-0.0021,0.0,0.00021948915225222798
2015-06-26,39.2445182800293,-0.008543549832378705,-0.0006,-0.0022,0.0040999999999999995,0.0,-0.008543549832378705
2015-06-29,38.47280502319336,-0.019664230589591547,-0.021400000000000002,-0.0045000000000000005,0.0017000000000000001,0.0,-0.019664230589591547
2015-06-30,38.28205108642578,-0.004958149962098757,0.0033,0.0032,-0.0066,0.0,-0.004958149962098757
2015-07-01,38.54218673706055,0.006795238062022424,0.0060999999999999995,-0.0076,-0.0004,0.0,0.006795238062022424
2015-07-02,38.49882125854492,-0.0011251431791213795,-0.0011,-0.005699999999999999,-0.001,0.0,-0.0011251431791213795
2015-07-06,38.49015045166016,-0.0002252226588063122,-0.0037,0.0019,-0.005600000000000001,0.0,-0.0002252226588063122
2015-07-07,38.41211700439453,-0.0020273614509154214,0.0053,-0.0046,-0.0028000000000000004,0.0,-0.0020273614509154214
2015-07-08,38.36010360717773,-0.0013540882740425975,-0.0168,0.0,0.0009,0.0,-0.0013540882740425975
2015-07-09,38.602874755859375,0.0063287406928749235,0.0029,0.0014000000000000002,0.0002,0.0,0.0063287406928749235
2015-07-10,38.680912017822266,0.0020215401691305868,0.0124,0.0023,-0.0052,0.0,0.0020215401691305868
2015-07-13,39.48731231689453,0.020847499632395294,0.011399999999999999,-0.0008,-0.0043,0.0,0.020847499632395294
2015-07-14,39.5566520690918,0.0017560008045318654,0.0048,0.0017000000000000001,0.001,0.0,0.0017560008045318654
2015-07-15,39.67805862426758,0.003069181764010942,-0.0018,-0.0079,-0.0006,0.0,0.003069181764010942
2015-07-16,40.45845413208008,0.019668187781122892,0.0077,-0.0016,-0.0064,0.0,0.019668187781122892
2015-07-17,40.42375946044922,-0.0008575382420098476,0.0005,-0.0059,-0.0066,0.0,-0.0008575382420098476
2015-07-20,40.68390274047852,0.0064354054027020435,-0.0001,-0.0070999999999999995,-0.0060999999999999995,0.0,0.0064354054027020435
2015-07-21,40.99604415893555,0.0076723568151306765,-0.0046,0.0001,0.003,0.0,0.0076723568151306765
2015-07-22,39.48731231689453,-0.0368018884015221,-0.0017000000000000001,0.0019,0.0023,0.0,-0.0368018884015221
2015-07-23,39.981563568115234,0.012516710361399674,-0.0058,-0.0039000000000000003,-0.0031,0.0,0.012516710361399674
2015-07-24,39.83415222167969,-0.0036869830311765384,-0.0109,-0.0062,0.0004,0.0,-0.0036869830311765384
2015-07-27,39.32256317138672,-0.012842975732129114,-0.0074,-0.0025,0.0005,0.0,-0.012842975732129114
2015-07-28,39.31388854980469,-0.00022060163128789778,0.0123,-0.0037,-0.0014000000000000002,0.0,-0.00022060163128789778
2015-07-29,40.13762283325195,0.020952755217884977,0.0075,-0.0039000000000000003,0.0053,0.0,0.020952755217884977
2015-07-30,40.64922332763672,0.012746158299163923,0.0011,0.0015,-0.0027,0.0,0.012746158299163923
2015-07-31,40.49313354492188,-0.003839920420046883,-0.0015,0.0085,-0.0101,0.0,-0.003839920420046883
2015-08-03,40.588523864746094,0.0023557159318972065,-0.0034000000000000002,-0.0033,-0.002,0.0,0.0023557159318972065
2015-08-04,41.221492767333984,0.015594775131442251,-0.0014000000000000002,0.0003,-0.0013,0.0,0.015594775131442251
2015-08-05,41.256160736083984,0.0008410168196886225,0.0036,-0.0002,-0.0040999999999999995,0.0,0.0008410168196886225
2015-08-06,40.42375946044922,-0.020176411493052937,-0.0088,-0.0053,0.019299999999999998,0.0,-0.020176411493052937
2015-08-07,40.52782440185547,0.0025743508964837236,-0.0036,-0.0048,-0.003,0.0,0.0025743508964837236
2015-08-10,41.03938674926758,0.012622497135293731,0.0131,0.0014000000000000002,0.006999999999999999,0.0,0.012622497135293731
2015-08-11,40.241676330566406,-0.01943767882241587,-0.0098,-0.0009,0.0042,0.0,-0.01943767882241587
2015-08-12,40.52782440185547,0.007110739347399253,0.0007000000000000001,-0.001,-0.0032,0.0,0.007110739347399253
